year,company,value
2017,Infosys Limited,20549
2017,TATA Consultancy Services Limited,13446  
2017,Capgemini America Inc,9432
2017,IBM India Private Limited,7638
2017,Tech Mahindra Inc,7529
2017,Deloitte Consulting LLP,6923
2017,Accenture LLP,6631
2017,Ernst & Young US LLP,5863
2017,Wipro Limited,5066
2017,Microsoft Corporation,4795
2017,Google Inc,4685
2017,HCL America Inc,4231
2017,Syntel Consulting Inc,4147
2017,Amazon Corporate LLC,3701
2017,Cognizant Technology Solutions,2613



