year,company,value
2021,Cognizant Technology Solutions US CORP,18987
2021,Google LLC,15210
2021,Amazon.com Services LLC,14329
2021,Microsoft Corporation,11583
2021,Ernst & Young US LLP,10046
2021,TATA Consultancy Services Limited,8787
2021,Infosys Limited,7958
2021,Apple Inc,6343
2021,Accenture LLP,6139
2021,Intel Corporation,5741
2021,WAL-MART Associates Inc,5139
2021,Deloitte Consulting LLP,4546
2021,Capgemini America Inc,4276
2021,Wipro Limited,4156
2021,HCL America Inc,3898
