year,company,value
2020,Cognizant Technology Solutions,28587
2020,TATA Consultancy Services Limited,11925
2020,Google LLC,9636
2020,Infosys Limited,8878
2020,Ernst & Young US LLP,8734
2020,Deloitte Consulting LLP,8052
2020,Microsoft Corporation,7644
2020,Amazon.com Services LLC,7191
2020,IBM Corporation,5783
2020,Accenture LLP,5702
2020,Capgemini America Inc,5317
2020,HCL America Inc,3609
2020,Wipro Limited,2400
2020,WAL-MART Associates Inc,2212
2020,Compunnel Software Group Inc, 2136
