year,company,value
2022,Amazon.com Services LLC,15583
2022,Cognizant Technology Solutions,13577
2022,Google LLC,11568
2022,Microsoft Corporation,11403
2022,TATA Consultancy Services Limited,11118
2022,Ernst & Young US LLP,9301
2022,Infosys Limited,7633
2022,Apple Inc,4944
2022,Intel Corporation,4809
2022,Amazon Web Services Inc,4248
2022,WAL-MART Associates Inc,3924
2022,Capgemini America Inc,3723
2022,Meta Platforms Inc,3587
2022,Deloitte Consulting LLP,3456
2022,Accenture LLP,2979
