year,company,value
2018,Deloitte Consulting LLP,15603
2018,TATA Consultancy Services Limited,14496
2018,Infosys Limited,11548
2018,Cognizant Technology Solutions,10357
2018,Ernst & Young US LLP,6760
2018,Wipro Limited,6223
2018,Accenture LLP,6209
2018,Capgemini America Inc,6036
2018,Tech Mahindra Inc,5831
2018,Google LLC,5716
2018,Microsoft Corporation,5417
2018,IBM Corporation,4279
2018,Amazon.com Services Inc,3710
2018,Syntel Inc,3274
2018,Larsen & Toubro Infotech Ltd,3025
